,Name,Population,Sq Mi,X,Y,Zip Code,Date,Total Case
39,Waterfront/Dowtown (Fat Bobs/Dino BBQ/Pearl Street Bar),3969,0.82,42.88800000000001,-78.8762,14202,6/9/20,14
40,Downtown (Main and Michigan to North),1724,2.8,42.8676,-78.87388,14203,6/9/20,18
41,Downtown (Fruitbelt to First Ward),9233,1.7,42.88449,-78.8623,14204,6/9/20,86
42,West Seneca (Kaisertown),20425,4.76,42.880699,-78.81424,14206,6/9/20,111
43,Black Rock/Riverside/Upper West Side ,24197,3.87,42.951,-78.895,14207,6/9/20,344
44,Hamlin Park (East Buffalo),10781,1.15,42.9155,-78.8515,14208,6/9/20,194
45,Delaware (Main - Allen to Park),8509,1.14,42.917,-78.86399999999998,14209,6/9/20,196
46,Larkin Square/Seneca (South),14095,3.87,42.86175,-78.83014,14210,6/9/20,81
47,MLK Park (Buffalo/Cheektowaga),21831,3.61,42.90795,-78.81925,14211,6/9/20,243
48,Broadway/Sloan,10262,2.41,42.8973,-78.81829,14212,6/9/20,120
49,West Side,26700,2.82,42.9166,-78.8919,14213,6/9/20,270
50,South Main St/FLR House (Buffalo (University)),19330,3.31,42.9387,-78.83975,14214,6/9/20,134
51,South Campus (Buffalo East),38599,4.55,42.9334,-78.80815,14215,6/9/20,527
52,Hertle/Lloyds,21800,2.84,42.9475,-78.8637,14216,6/9/20,122
53,North Elmwood (Kenmore/Clay Handi),22536,3.14,42.9767,-78.8756,14217,6/9/20,180
54,Lackawana,18590,8.07,42.8155,-78.8112,14218,6/9/20,99
55,Blasdell (Wegmans),11999,6.63,42.7879,-78.8293,14219,6/9/20,54
56,South Buffalo (South Park/Mercy Hospital of Buffalo),23821,4.4,42.84474,-78.82575,14220,6/9/20,123
57,Williamsville (Amherst/Clarence),54529,22.92,42.9872,-78.7222,14221,6/9/20,422
58,Elmwood Village,12807,1.02,42.9178,-78.8747,14222,6/9/20,47
59,South Campus (Lincoln Park),23657,3.48,42.97428,-78.8478,14223,6/9/20,102
60,West Seneca,41070,20.19,42.83744,-78.7429,14224,6/9/20,204
61,Cheektowaga/Airport,33861,11.79,42.9267,-78.748,14225,6/9/20,211
62,Amherst (Snyder/Eggertsville),28674,7.24,42.9761,-78.7937,14226,6/9/20,142
63,Cheektowaga (Bellevue),22419,7.93,42.8855,-78.7448,14227,6/9/20,225
64,North Campus/Sweethome/West Amherst,21775,15.28,43.038299,-78.778411,14228,6/9/20,90
65,UB North Campus (Amherst),1670,0.97,,,14260,6/9/20,0
66,Akron,9549,59.61,43.0414,-78.4963,14001,6/10/20,35
67,Alden,12851,46.68,42.894668,-78.4833,14004,6/10/20,61
68,Angola,10113,28.86,42.6361,-79.02794,14006,6/10/20,17
69,Basom,1923,41.17,43.0811,-78.4012,14013,6/10/20,0
70,Boston,3060,23.54,42.6214,-78.7217,14025,6/10/20,9
71,Bowmansville,910,0.79,42.9441,-78.6867,14026,6/10/20,3
72,Chaffee,1867,20.9,42.5737,-78.507,14030,6/10/20,1
73,Clarence,10145,20.83,42.993,-78.607,14031,6/10/20,76
74,Clarence Center (North),8964,25.14,43.04275,-78.6292,14032,6/10/20,35
75,Colden,2396,19.96,42.6521,-78.6869,14033,6/10/20,1
76,Collins,1922,26.0,42.49089,-78.8573,14034,6/10/20,1
77,Cowlesville,1081,17.91,42.8054,-78.4507,14037,6/10/20,0
78,Depew,25714,9.15,42.89925,-78.70735,14043,6/10/20,95
79,Derby,6463,12.32,42.69266,-78.9934,14047,6/10/20,16
80,East Amherst,20690,16.19,43.0442,-78.695,14051,6/10/20,79
81,East Aurora,17482,62.71,42.775,-78.5753,14052,6/10/20,242
82,East Concord,1312,29.7,42.5468,-78.5954,14055,6/10/20,1
83,Eden,7934,48.1,42.652283,-78.89698,14057,6/10/20,17
84,Elma,9381,26.72,42.8255,-78.62666,14059,6/10/20,34
85,Getzville,8374,3.8,43.0269,-78.762,14068,6/10/20,175
86,Glenwood,678,5.42,42.6057,-78.6191,14069,6/10/20,3
87,Gowanda,7706,44.41,42.44377,-78.90769,14070,6/10/20,12
88,Grand Island,20809,33.26,43.0119,-78.9559,14072,6/10/20,84
89,Hamburg,43111,38.97,42.716,-78.82434,14075,6/10/20,210
90,Holland,4460,50.61,42.6405,-78.5435,14080,6/10/20,19
91,Irving,3204,40.63,42.4617,-79.027,14081,6/10/20,5
92,Evans (Lake View),7831,6.43,42.8957,-78.8878,14085,6/10/20,19
93,Lancaster,33960,35.48,42.90584000000001,-78.6296,14086,6/10/20,183
94,Lawtons,1086,22.21,42.5386,-78.9061,14091,6/10/20,3
95,Marilla,1244,4.86,42.8368,-78.5573,14102,6/10/20,5
96,North Collins,3482,32.93,42.581,-78.8707,14111,6/10/20,11
97,Orchard Park,30810,40.39,42.7429,-78.7569,14127,6/10/20,198
98,Sardinia,139,2.42,42.5276,-78.5045,14134,6/10/20,1
99,South Wales,2371,23.28,42.69757,-78.5433,14139,6/10/20,1
100,Springville,7799,73.22,42.5329,-78.7157,14141,6/10/20,42
101,Strykersville,1405,26.97,42.7296,-78.41938,14145,6/10/20,0
102,Tonawanda,40850,17.07,42.99298,-78.8812,14150,6/10/20,217
103,West Falls,2270,13.31,42.7087,-78.6647,14170,6/10/20,5
104,Allentown (Downtown),11502,1.02,42.8994,-78.8765,14201,6/10/20,148
105,Waterfront/Dowtown (Fat Bobs/Dino BBQ/Pearl Street Bar),3969,0.82,42.88800000000001,-78.8762,14202,6/10/20,14
106,Downtown (Main and Michigan to North),1724,2.8,42.8676,-78.87388,14203,6/10/20,18
107,Downtown (Fruitbelt to First Ward),9233,1.7,42.88449,-78.8623,14204,6/10/20,87
108,West Seneca (Kaisertown),20425,4.76,42.880699,-78.81424,14206,6/10/20,112
109,Black Rock/Riverside/Upper West Side ,24197,3.87,42.951,-78.895,14207,6/10/20,354
110,Hamlin Park (East Buffalo),10781,1.15,42.9155,-78.8515,14208,6/10/20,199
111,Delaware (Main - Allen to Park),8509,1.14,42.917,-78.86399999999998,14209,6/10/20,197
112,Larkin Square/Seneca (South),14095,3.87,42.86175,-78.83014,14210,6/10/20,83
113,MLK Park (Buffalo/Cheektowaga),21831,3.61,42.90795,-78.81925,14211,6/10/20,248
114,Broadway/Sloan,10262,2.41,42.8973,-78.81829,14212,6/10/20,121
115,West Side,26700,2.82,42.9166,-78.8919,14213,6/10/20,275
116,South Main St/FLR House (Buffalo (University)),19330,3.31,42.9387,-78.83975,14214,6/10/20,134
117,South Campus (Buffalo East),38599,4.55,42.9334,-78.80815,14215,6/10/20,538
118,Hertle/Lloyds,21800,2.84,42.9475,-78.8637,14216,6/10/20,122
119,North Elmwood (Kenmore/Clay Handi),22536,3.14,42.9767,-78.8756,14217,6/10/20,180
120,Lackawana,18590,8.07,42.8155,-78.8112,14218,6/10/20,101
121,Blasdell (Wegmans),11999,6.63,42.7879,-78.8293,14219,6/10/20,55
122,South Buffalo (South Park/Mercy Hospital of Buffalo),23821,4.4,42.84474,-78.82575,14220,6/10/20,123
123,Williamsville (Amherst/Clarence),54529,22.92,42.9872,-78.7222,14221,6/10/20,425
124,Elmwood Village,12807,1.02,42.9178,-78.8747,14222,6/10/20,49
125,South Campus (Lincoln Park),23657,3.48,42.97428,-78.8478,14223,6/10/20,104
126,West Seneca,41070,20.19,42.83744,-78.7429,14224,6/10/20,205
127,Cheektowaga/Airport,33861,11.79,42.9267,-78.748,14225,6/10/20,211
128,Amherst (Snyder/Eggertsville),28674,7.24,42.9761,-78.7937,14226,6/10/20,142
129,Cheektowaga (Bellevue),22419,7.93,42.8855,-78.7448,14227,6/10/20,230
130,North Campus/Sweethome/West Amherst,21775,15.28,43.038299,-78.778411,14228,6/10/20,92
131,UB North Campus (Amherst),1670,0.97,,,14260,6/10/20,0
132,Akron,9549,59.61,43.0414,-78.4963,14001,6/11/20,36
133,Alden,12851,46.68,42.894668,-78.4833,14004,6/11/20,61
134,Angola,10113,28.86,42.6361,-79.02794,14006,6/11/20,17
135,Basom,1923,41.17,43.0811,-78.4012,14013,6/11/20,0
136,Boston,3060,23.54,42.6214,-78.7217,14025,6/11/20,9
137,Bowmansville,910,0.79,42.9441,-78.6867,14026,6/11/20,3
138,Chaffee,1867,20.9,42.5737,-78.507,14030,6/11/20,1
139,Clarence,10145,20.83,42.993,-78.607,14031,6/11/20,76
140,Clarence Center (North),8964,25.14,43.04275,-78.6292,14032,6/11/20,35
141,Colden,2396,19.96,42.6521,-78.6869,14033,6/11/20,1
142,Collins,1922,26.0,42.49089,-78.8573,14034,6/11/20,1
143,Cowlesville,1081,17.91,42.8054,-78.4507,14037,6/11/20,1
144,Depew,25714,9.15,42.89925,-78.70735,14043,6/11/20,96
145,Derby,6463,12.32,42.69266,-78.9934,14047,6/11/20,16
146,East Amherst,20690,16.19,43.0442,-78.695,14051,6/11/20,79
147,East Aurora,17482,62.71,42.775,-78.5753,14052,6/11/20,242
148,East Concord,1312,29.7,42.5468,-78.5954,14055,6/11/20,1
149,Eden,7934,48.1,42.652283,-78.89698,14057,6/11/20,19
150,Elma,9381,26.72,42.8255,-78.62666,14059,6/11/20,34
151,Getzville,8374,3.8,43.0269,-78.762,14068,6/11/20,177
152,Glenwood,678,5.42,42.6057,-78.6191,14069,6/11/20,3
153,Gowanda,7706,44.41,42.44377,-78.90769,14070,6/11/20,12
154,Grand Island,20809,33.26,43.0119,-78.9559,14072,6/11/20,84
155,Hamburg,43111,38.97,42.716,-78.82434,14075,6/11/20,210
156,Holland,4460,50.61,42.6405,-78.5435,14080,6/11/20,19
157,Irving,3204,40.63,42.4617,-79.027,14081,6/11/20,5
158,Evans (Lake View),7831,6.43,42.8957,-78.8878,14085,6/11/20,19
159,Lancaster,33960,35.48,42.90584000000001,-78.6296,14086,6/11/20,183
160,Lawtons,1086,22.21,42.5386,-78.9061,14091,6/11/20,3
161,Marilla,1244,4.86,42.8368,-78.5573,14102,6/11/20,5
162,North Collins,3482,32.93,42.581,-78.8707,14111,6/11/20,11
163,Orchard Park,30810,40.39,42.7429,-78.7569,14127,6/11/20,198
164,Sardinia,139,2.42,42.5276,-78.5045,14134,6/11/20,1
165,South Wales,2371,23.28,42.69757,-78.5433,14139,6/11/20,1
166,Springville,7799,73.22,42.5329,-78.7157,14141,6/11/20,42
167,Strykersville,1405,26.97,42.7296,-78.41938,14145,6/11/20,0
168,Tonawanda,40850,17.07,42.99298,-78.8812,14150,6/11/20,217
169,West Falls,2270,13.31,42.7087,-78.6647,14170,6/11/20,5
170,Allentown (Downtown),11502,1.02,42.8994,-78.8765,14201,6/11/20,150
171,Waterfront/Dowtown (Fat Bobs/Dino BBQ/Pearl Street Bar),3969,0.82,42.88800000000001,-78.8762,14202,6/11/20,14
172,Downtown (Main and Michigan to North),1724,2.8,42.8676,-78.87388,14203,6/11/20,18
173,Downtown (Fruitbelt to First Ward),9233,1.7,42.88449,-78.8623,14204,6/11/20,87
174,West Seneca (Kaisertown),20425,4.76,42.880699,-78.81424,14206,6/11/20,112
175,Black Rock/Riverside/Upper West Side ,24197,3.87,42.951,-78.895,14207,6/11/20,356
176,Hamlin Park (East Buffalo),10781,1.15,42.9155,-78.8515,14208,6/11/20,199
177,Delaware (Main - Allen to Park),8509,1.14,42.917,-78.86399999999998,14209,6/11/20,197
178,Larkin Square/Seneca (South),14095,3.87,42.86175,-78.83014,14210,6/11/20,83
179,MLK Park (Buffalo/Cheektowaga),21831,3.61,42.90795,-78.81925,14211,6/11/20,249
180,Broadway/Sloan,10262,2.41,42.8973,-78.81829,14212,6/11/20,125
181,West Side,26700,2.82,42.9166,-78.8919,14213,6/11/20,283
182,South Main St/FLR House (Buffalo (University)),19330,3.31,42.9387,-78.83975,14214,6/11/20,134
183,South Campus (Buffalo East),38599,4.55,42.9334,-78.80815,14215,6/11/20,544
184,Hertle/Lloyds,21800,2.84,42.9475,-78.8637,14216,6/11/20,122
185,North Elmwood (Kenmore/Clay Handi),22536,3.14,42.9767,-78.8756,14217,6/11/20,183
186,Lackawana,18590,8.07,42.8155,-78.8112,14218,6/11/20,101
187,Blasdell (Wegmans),11999,6.63,42.7879,-78.8293,14219,6/11/20,55
188,South Buffalo (South Park/Mercy Hospital of Buffalo),23821,4.4,42.84474,-78.82575,14220,6/11/20,123
189,Williamsville (Amherst/Clarence),54529,22.92,42.9872,-78.7222,14221,6/11/20,426
190,Elmwood Village,12807,1.02,42.9178,-78.8747,14222,6/11/20,49
191,South Campus (Lincoln Park),23657,3.48,42.97428,-78.8478,14223,6/11/20,104
192,West Seneca,41070,20.19,42.83744,-78.7429,14224,6/11/20,205
193,Cheektowaga/Airport,33861,11.79,42.9267,-78.748,14225,6/11/20,211
194,Amherst (Snyder/Eggertsville),28674,7.24,42.9761,-78.7937,14226,6/11/20,142
195,Cheektowaga (Bellevue),22419,7.93,42.8855,-78.7448,14227,6/11/20,230
196,North Campus/Sweethome/West Amherst,21775,15.28,43.038299,-78.778411,14228,6/11/20,92
197,UB North Campus (Amherst),1670,0.97,,,14260,6/11/20,0
198,Akron,9549,59.61,43.0414,-78.4963,14001,6/12/20,37
199,Alden,12851,46.68,42.894668,-78.4833,14004,6/12/20,61
200,Angola,10113,28.86,42.6361,-79.02794,14006,6/12/20,17
201,Basom,1923,41.17,43.0811,-78.4012,14013,6/12/20,0
202,Boston,3060,23.54,42.6214,-78.7217,14025,6/12/20,9
203,Bowmansville,910,0.79,42.9441,-78.6867,14026,6/12/20,3
204,Chaffee,1867,20.9,42.5737,-78.507,14030,6/12/20,2
205,Clarence,10145,20.83,42.993,-78.607,14031,6/12/20,78
206,Clarence Center (North),8964,25.14,43.04275,-78.6292,14032,6/12/20,35
207,Colden,2396,19.96,42.6521,-78.6869,14033,6/12/20,1
208,Collins,1922,26.0,42.49089,-78.8573,14034,6/12/20,1
209,Cowlesville,1081,17.91,42.8054,-78.4507,14037,6/12/20,1
210,Depew,25714,9.15,42.89925,-78.70735,14043,6/12/20,98
211,Derby,6463,12.32,42.69266,-78.9934,14047,6/12/20,16
212,East Amherst,20690,16.19,43.0442,-78.695,14051,6/12/20,79
213,East Aurora,17482,62.71,42.775,-78.5753,14052,6/12/20,243
214,East Concord,1312,29.7,42.5468,-78.5954,14055,6/12/20,1
215,Eden,7934,48.1,42.652283,-78.89698,14057,6/12/20,19
216,Elma,9381,26.72,42.8255,-78.62666,14059,6/12/20,34
217,Getzville,8374,3.8,43.0269,-78.762,14068,6/12/20,179
218,Glenwood,678,5.42,42.6057,-78.6191,14069,6/12/20,3
219,Gowanda,7706,44.41,42.44377,-78.90769,14070,6/12/20,12
220,Grand Island,20809,33.26,43.0119,-78.9559,14072,6/12/20,87
221,Hamburg,43111,38.97,42.716,-78.82434,14075,6/12/20,210
222,Holland,4460,50.61,42.6405,-78.5435,14080,6/12/20,19
223,Irving,3204,40.63,42.4617,-79.027,14081,6/12/20,5
224,Evans (Lake View),7831,6.43,42.8957,-78.8878,14085,6/12/20,19
225,Lancaster,33960,35.48,42.90584000000001,-78.6296,14086,6/12/20,184
226,Lawtons,1086,22.21,42.5386,-78.9061,14091,6/12/20,3
227,Marilla,1244,4.86,42.8368,-78.5573,14102,6/12/20,6
228,North Collins,3482,32.93,42.581,-78.8707,14111,6/12/20,12
229,Orchard Park,30810,40.39,42.7429,-78.7569,14127,6/12/20,200
230,Sardinia,139,2.42,42.5276,-78.5045,14134,6/12/20,1
231,South Wales,2371,23.28,42.69757,-78.5433,14139,6/12/20,1
232,Springville,7799,73.22,42.5329,-78.7157,14141,6/12/20,42
233,Strykersville,1405,26.97,42.7296,-78.41938,14145,6/12/20,0
234,Tonawanda,40850,17.07,42.99298,-78.8812,14150,6/12/20,222
235,West Falls,2270,13.31,42.7087,-78.6647,14170,6/12/20,5
236,Allentown (Downtown),11502,1.02,42.8994,-78.8765,14201,6/12/20,155
237,Waterfront/Dowtown (Fat Bobs/Dino BBQ/Pearl Street Bar),3969,0.82,42.88800000000001,-78.8762,14202,6/12/20,14
238,Downtown (Main and Michigan to North),1724,2.8,42.8676,-78.87388,14203,6/12/20,19
239,Downtown (Fruitbelt to First Ward),9233,1.7,42.88449,-78.8623,14204,6/12/20,90
240,West Seneca (Kaisertown),20425,4.76,42.880699,-78.81424,14206,6/12/20,112
241,Black Rock/Riverside/Upper West Side ,24197,3.87,42.951,-78.895,14207,6/12/20,370
242,Hamlin Park (East Buffalo),10781,1.15,42.9155,-78.8515,14208,6/12/20,199
243,Delaware (Main - Allen to Park),8509,1.14,42.917,-78.86399999999998,14209,6/12/20,197
244,Larkin Square/Seneca (South),14095,3.87,42.86175,-78.83014,14210,6/12/20,83
245,MLK Park (Buffalo/Cheektowaga),21831,3.61,42.90795,-78.81925,14211,6/12/20,255
246,Broadway/Sloan,10262,2.41,42.8973,-78.81829,14212,6/12/20,127
247,West Side,26700,2.82,42.9166,-78.8919,14213,6/12/20,304
248,South Main St/FLR House (Buffalo (University)),19330,3.31,42.9387,-78.83975,14214,6/12/20,134
249,South Campus (Buffalo East),38599,4.55,42.9334,-78.80815,14215,6/12/20,551
250,Hertle/Lloyds,21800,2.84,42.9475,-78.8637,14216,6/12/20,122
251,North Elmwood (Kenmore/Clay Handi),22536,3.14,42.9767,-78.8756,14217,6/12/20,184
252,Lackawana,18590,8.07,42.8155,-78.8112,14218,6/12/20,102
253,Blasdell (Wegmans),11999,6.63,42.7879,-78.8293,14219,6/12/20,55
254,South Buffalo (South Park/Mercy Hospital of Buffalo),23821,4.4,42.84474,-78.82575,14220,6/12/20,123
255,Williamsville (Amherst/Clarence),54529,22.92,42.9872,-78.7222,14221,6/12/20,433
256,Elmwood Village,12807,1.02,42.9178,-78.8747,14222,6/12/20,50
257,South Campus (Lincoln Park),23657,3.48,42.97428,-78.8478,14223,6/12/20,106
258,West Seneca,41070,20.19,42.83744,-78.7429,14224,6/12/20,210
259,Cheektowaga/Airport,33861,11.79,42.9267,-78.748,14225,6/12/20,215
260,Amherst (Snyder/Eggertsville),28674,7.24,42.9761,-78.7937,14226,6/12/20,142
261,Cheektowaga (Bellevue),22419,7.93,42.8855,-78.7448,14227,6/12/20,230
262,North Campus/Sweethome/West Amherst,21775,15.28,43.038299,-78.778411,14228,6/12/20,92
263,UB North Campus (Amherst),1670,0.97,,,14260,6/12/20,0
264,Akron,9549,59.61,43.0414,-78.4963,14001,6/13/20,37
265,Alden,12851,46.68,42.894668,-78.4833,14004,6/13/20,61
266,Angola,10113,28.86,42.6361,-79.02794,14006,6/13/20,17
267,Basom,1923,41.17,43.0811,-78.4012,14013,6/13/20,0
268,Boston,3060,23.54,42.6214,-78.7217,14025,6/13/20,9
269,Bowmansville,910,0.79,42.9441,-78.6867,14026,6/13/20,3
270,Chaffee,1867,20.9,42.5737,-78.507,14030,6/13/20,2
271,Clarence,10145,20.83,42.993,-78.607,14031,6/13/20,78
272,Clarence Center (North),8964,25.14,43.04275,-78.6292,14032,6/13/20,35
273,Colden,2396,19.96,42.6521,-78.6869,14033,6/13/20,1
274,Collins,1922,26.0,42.49089,-78.8573,14034,6/13/20,1
275,Cowlesville,1081,17.91,42.8054,-78.4507,14037,6/13/20,1
276,Depew,25714,9.15,42.89925,-78.70735,14043,6/13/20,98
277,Derby,6463,12.32,42.69266,-78.9934,14047,6/13/20,16
278,East Amherst,20690,16.19,43.0442,-78.695,14051,6/13/20,79
279,East Aurora,17482,62.71,42.775,-78.5753,14052,6/13/20,243
280,East Concord,1312,29.7,42.5468,-78.5954,14055,6/13/20,1
281,Eden,7934,48.1,42.652283,-78.89698,14057,6/13/20,19
282,Elma,9381,26.72,42.8255,-78.62666,14059,6/13/20,34
283,Getzville,8374,3.8,43.0269,-78.762,14068,6/13/20,180
284,Glenwood,678,5.42,42.6057,-78.6191,14069,6/13/20,3
285,Gowanda,7706,44.41,42.44377,-78.90769,14070,6/13/20,12
286,Grand Island,20809,33.26,43.0119,-78.9559,14072,6/13/20,89
287,Hamburg,43111,38.97,42.716,-78.82434,14075,6/13/20,210
288,Holland,4460,50.61,42.6405,-78.5435,14080,6/13/20,19
289,Irving,3204,40.63,42.4617,-79.027,14081,6/13/20,5
290,Evans (Lake View),7831,6.43,42.8957,-78.8878,14085,6/13/20,19
291,Lancaster,33960,35.48,42.90584000000001,-78.6296,14086,6/13/20,184
292,Lawtons,1086,22.21,42.5386,-78.9061,14091,6/13/20,3
293,Marilla,1244,4.86,42.8368,-78.5573,14102,6/13/20,6
294,North Collins,3482,32.93,42.581,-78.8707,14111,6/13/20,12
295,Orchard Park,30810,40.39,42.7429,-78.7569,14127,6/13/20,200
296,Sardinia,139,2.42,42.5276,-78.5045,14134,6/13/20,1
297,South Wales,2371,23.28,42.69757,-78.5433,14139,6/13/20,1
298,Springville,7799,73.22,42.5329,-78.7157,14141,6/13/20,42
299,Strykersville,1405,26.97,42.7296,-78.41938,14145,6/13/20,0
300,Tonawanda,40850,17.07,42.99298,-78.8812,14150,6/13/20,222
301,West Falls,2270,13.31,42.7087,-78.6647,14170,6/13/20,5
302,Allentown (Downtown),11502,1.02,42.8994,-78.8765,14201,6/13/20,157
303,Waterfront/Dowtown (Fat Bobs/Dino BBQ/Pearl Street Bar),3969,0.82,42.88800000000001,-78.8762,14202,6/13/20,14
304,Downtown (Main and Michigan to North),1724,2.8,42.8676,-78.87388,14203,6/13/20,20
305,Downtown (Fruitbelt to First Ward),9233,1.7,42.88449,-78.8623,14204,6/13/20,91
306,West Seneca (Kaisertown),20425,4.76,42.880699,-78.81424,14206,6/13/20,112
307,Black Rock/Riverside/Upper West Side ,24197,3.87,42.951,-78.895,14207,6/13/20,386
308,Hamlin Park (East Buffalo),10781,1.15,42.9155,-78.8515,14208,6/13/20,199
309,Delaware (Main - Allen to Park),8509,1.14,42.917,-78.86399999999998,14209,6/13/20,198
310,Larkin Square/Seneca (South),14095,3.87,42.86175,-78.83014,14210,6/13/20,83
311,MLK Park (Buffalo/Cheektowaga),21831,3.61,42.90795,-78.81925,14211,6/13/20,255
312,Broadway/Sloan,10262,2.41,42.8973,-78.81829,14212,6/13/20,128
313,West Side,26700,2.82,42.9166,-78.8919,14213,6/13/20,313
314,South Main St/FLR House (Buffalo (University)),19330,3.31,42.9387,-78.83975,14214,6/13/20,134
315,South Campus (Buffalo East),38599,4.55,42.9334,-78.80815,14215,6/13/20,557
316,Hertle/Lloyds,21800,2.84,42.9475,-78.8637,14216,6/13/20,122
317,North Elmwood (Kenmore/Clay Handi),22536,3.14,42.9767,-78.8756,14217,6/13/20,185
318,Lackawana,18590,8.07,42.8155,-78.8112,14218,6/13/20,102
319,Blasdell (Wegmans),11999,6.63,42.7879,-78.8293,14219,6/13/20,55
320,South Buffalo (South Park/Mercy Hospital of Buffalo),23821,4.4,42.84474,-78.82575,14220,6/13/20,123
321,Williamsville (Amherst/Clarence),54529,22.92,42.9872,-78.7222,14221,6/13/20,435
322,Elmwood Village,12807,1.02,42.9178,-78.8747,14222,6/13/20,51
323,South Campus (Lincoln Park),23657,3.48,42.97428,-78.8478,14223,6/13/20,106
324,West Seneca,41070,20.19,42.83744,-78.7429,14224,6/13/20,211
325,Cheektowaga/Airport,33861,11.79,42.9267,-78.748,14225,6/13/20,218
326,Amherst (Snyder/Eggertsville),28674,7.24,42.9761,-78.7937,14226,6/13/20,142
327,Cheektowaga (Bellevue),22419,7.93,42.8855,-78.7448,14227,6/13/20,230
328,North Campus/Sweethome/West Amherst,21775,15.28,43.038299,-78.778411,14228,6/13/20,92
329,UB North Campus (Amherst),1670,0.97,,,14260,6/13/20,0
330,Akron,9549,59.61,43.0414,-78.4963,14001,6/14/20,38
331,Alden,12851,46.68,42.894668,-78.4833,14004,6/14/20,61
332,Angola,10113,28.86,42.6361,-79.02794,14006,6/14/20,17
333,Basom,1923,41.17,43.0811,-78.4012,14013,6/14/20,0
334,Boston,3060,23.54,42.6214,-78.7217,14025,6/14/20,9
335,Bowmansville,910,0.79,42.9441,-78.6867,14026,6/14/20,3
336,Chaffee,1867,20.9,42.5737,-78.507,14030,6/14/20,2
337,Clarence,10145,20.83,42.993,-78.607,14031,6/14/20,78
338,Clarence Center (North),8964,25.14,43.04275,-78.6292,14032,6/14/20,35
339,Colden,2396,19.96,42.6521,-78.6869,14033,6/14/20,1
340,Collins,1922,26.0,42.49089,-78.8573,14034,6/14/20,1
341,Cowlesville,1081,17.91,42.8054,-78.4507,14037,6/14/20,1
342,Depew,25714,9.15,42.89925,-78.70735,14043,6/14/20,98
343,Derby,6463,12.32,42.69266,-78.9934,14047,6/14/20,16
344,East Amherst,20690,16.19,43.0442,-78.695,14051,6/14/20,79
345,East Aurora,17482,62.71,42.775,-78.5753,14052,6/14/20,243
346,East Concord,1312,29.7,42.5468,-78.5954,14055,6/14/20,1
347,Eden,7934,48.1,42.652283,-78.89698,14057,6/14/20,19
348,Elma,9381,26.72,42.8255,-78.62666,14059,6/14/20,34
